site_id,window_start,ion,concentration
Q1,1986-05-20,k_mgl,0.8166666666666667
Q1,1986-05-20,no3n_ugl,113.66666666666667
Q1,1986-05-20,mg_mgl,3.1066666666666665
Q1,1986-05-20,ca_mgl,3.9366666666666665
Q1,1986-05-20,nh4n_ugl,NA
Q1,1986-07-22,k_mgl,NA
Q1,1986-07-22,no3n_ugl,NA
Q1,1986-07-22,mg_mgl,NA
Q1,1986-07-22,ca_mgl,NA
Q1,1986-07-22,nh4n_ugl,NA
Q1,1986-09-23,k_mgl,0.656
Q1,1986-09-23,no3n_ugl,126.66666666666667
Q1,1986-09-23,mg_mgl,2.69
Q1,1986-09-23,ca_mgl,4.368
Q1,1986-09-23,nh4n_ugl,25.4
Q1,1986-11-25,k_mgl,0.6744444444444444
Q1,1986-11-25,no3n_ugl,154.33333333333334
Q1,1986-11-25,mg_mgl,2.5877777777777777
Q1,1986-11-25,ca_mgl,3.78
Q1,1986-11-25,nh4n_ugl,21.75
Q1,1987-01-27,k_mgl,0.7244444444444444
Q1,1987-01-27,no3n_ugl,132.22222222222223
Q1,1987-01-27,mg_mgl,2.977777777777778
Q1,1987-01-27,ca_mgl,4.166666666666667
Q1,1987-01-27,nh4n_ugl,18.4
Q1,1987-03-31,k_mgl,0.8466666666666667
Q1,1987-03-31,no3n_ugl,146.44444444444446
Q1,1987-03-31,mg_mgl,2.4299999999999997
Q1,1987-03-31,ca_mgl,3.7566666666666664
Q1,1987-03-31,nh4n_ugl,41.666666666666664
Q1,1987-06-02,k_mgl,0.8077777777777778
Q1,1987-06-02,no3n_ugl,157.66666666666666
Q1,1987-06-02,mg_mgl,2.522222222222222
Q1,1987-06-02,ca_mgl,3.893333333333333
Q1,1987-06-02,nh4n_ugl,73.77777777777777
Q1,1987-08-04,k_mgl,0.77
Q1,1987-08-04,no3n_ugl,182.30769230769232
Q1,1987-08-04,mg_mgl,2.171666666666667
Q1,1987-08-04,ca_mgl,3.3666666666666667
Q1,1987-08-04,nh4n_ugl,44.53846153846154
Q1,1987-10-06,k_mgl,0.737
Q1,1987-10-06,no3n_ugl,163.77777777777777
Q1,1987-10-06,mg_mgl,2.349
Q1,1987-10-06,ca_mgl,3.726
Q1,1987-10-06,nh4n_ugl,16.25
Q1,1987-12-08,k_mgl,0.7873333333333333
Q1,1987-12-08,no3n_ugl,162.33333333333334
Q1,1987-12-08,mg_mgl,2.0086666666666666
Q1,1987-12-08,ca_mgl,3.2173333333333334
Q1,1987-12-08,nh4n_ugl,24
Q1,1988-02-09,k_mgl,0.90125
Q1,1988-02-09,no3n_ugl,206.9375
Q1,1988-02-09,mg_mgl,1.99375
Q1,1988-02-09,ca_mgl,3.10375
Q1,1988-02-09,nh4n_ugl,20.6875
Q1,1988-04-12,k_mgl,0.8766666666666667
Q1,1988-04-12,no3n_ugl,151.7
Q1,1988-04-12,mg_mgl,2.251
Q1,1988-04-12,ca_mgl,3.19
Q1,1988-04-12,nh4n_ugl,64.2
Q1,1988-06-14,k_mgl,0.7655555555555555
Q1,1988-06-14,no3n_ugl,NA
Q1,1988-06-14,mg_mgl,2.267
Q1,1988-06-14,ca_mgl,3.2977777777777777
Q1,1988-06-14,nh4n_ugl,113
Q1,1988-08-16,k_mgl,0.7553846153846154
Q1,1988-08-16,no3n_ugl,93.83333333333333
Q1,1988-08-16,mg_mgl,2.046666666666667
Q1,1988-08-16,ca_mgl,2.8038461538461537
Q1,1988-08-16,nh4n_ugl,37.2
Q1,1988-10-18,k_mgl,0.89375
Q1,1988-10-18,no3n_ugl,141.77777777777777
Q1,1988-10-18,mg_mgl,2.61875
Q1,1988-10-18,ca_mgl,4.1625
Q1,1988-10-18,nh4n_ugl,46
Q1,1988-12-20,k_mgl,0.8588888888888889
Q1,1988-12-20,no3n_ugl,153
Q1,1988-12-20,mg_mgl,2.502222222222222
Q1,1988-12-20,ca_mgl,4.32875
Q1,1988-12-20,nh4n_ugl,NA
Q1,1989-02-21,k_mgl,0.8366666666666667
Q1,1989-02-21,no3n_ugl,130.88888888888889
Q1,1989-02-21,mg_mgl,2.73
Q1,1989-02-21,ca_mgl,4.14
Q1,1989-02-21,nh4n_ugl,NA
Q1,1989-04-25,k_mgl,0.9377777777777778
Q1,1989-04-25,no3n_ugl,141
Q1,1989-04-25,mg_mgl,2.997777777777778
Q1,1989-04-25,ca_mgl,4.794444444444444
Q1,1989-04-25,nh4n_ugl,NA
Q1,1989-06-27,k_mgl,0.9444444444444444
Q1,1989-06-27,no3n_ugl,116.625
Q1,1989-06-27,mg_mgl,2.5477777777777777
Q1,1989-06-27,ca_mgl,3.991111111111111
Q1,1989-06-27,nh4n_ugl,NA
Q1,1989-08-29,k_mgl,1.049090909090909
Q1,1989-08-29,no3n_ugl,81.6
Q1,1989-08-29,mg_mgl,2.781
Q1,1989-08-29,ca_mgl,4.265
Q1,1989-08-29,nh4n_ugl,NA
Q1,1989-10-31,k_mgl,1.232
Q1,1989-10-31,no3n_ugl,324.1
Q1,1989-10-31,mg_mgl,3.237
Q1,1989-10-31,ca_mgl,5.118
Q1,1989-10-31,nh4n_ugl,NA
Q1,1990-01-02,k_mgl,1.268888888888889
Q1,1990-01-02,no3n_ugl,118
Q1,1990-01-02,mg_mgl,3.3233333333333333
Q1,1990-01-02,ca_mgl,5.847777777777778
Q1,1990-01-02,nh4n_ugl,NA
Q1,1990-03-06,k_mgl,1.4038461538461537
Q1,1990-03-06,no3n_ugl,480.6363636363636
Q1,1990-03-06,mg_mgl,2.5215384615384617
